configuration,private_scale,shared_scale,wikitext103_loss,wikitext103_ppl,wikitext2_ppl
Private OFF,0,1,3.4994096318880716,33.09590742164718,29.074785345004845
Private ON,1,1,3.112869616349538,22.48547659996363,20.866589385736578
