step,dense_loss,dense_ppl,mofe_loss,mofe_ppl,upcycling_loss,upcycling_ppl
1,3.63929083943367,38.0648330729887,3.633848637342453,37.858239231455535,3.6267684996128082,37.5911443335782
5,3.7034478187561035,40.58700001894482,3.706339180469513,40.70452153359268,3.7025699615478516,40.55138606268808
10,3.718401402235031,41.19848163821659,3.6875771284103394,39.94794087818026,3.6911604404449463,40.09134359037665
15,3.7398639023303986,42.09226111650446,3.6879056692123413,39.9610675629224,3.7325931191444397,41.787327309260064
20,3.716375946998596,41.115120408567755,3.6340443789958954,37.86565039111178,3.7055048048496246,40.67057283815727
25,3.7511164247989655,42.56858009958111,3.6517608165740967,38.54247255858766,3.7492263317108154,42.48819750978147
30,3.637416511774063,37.993553924608946,3.5211263597011566,33.8225033215651,3.6339365243911743,37.8615666265867
35,3.68494188785553,39.84280703162677,3.5450509190559387,34.641449207243284,3.674973487854004,39.44761100251456
40,3.701178401708603,40.49499562685001,3.548595428466797,34.764454017035696,3.6850456297397614,39.846940613910405
45,3.637435168027878,37.99426274860626,3.4606024026870728,31.836148920989412,3.6173580288887024,37.23905324014413
50,3.6524986624717712,38.57092145801244,3.493185669183731,32.89055943020081,3.646883934736252,38.35496307661785
55,3.697568714618683,40.34908486845263,3.5143101811408997,33.59274701910657,3.6827846467494965,39.75694913191
60,3.6608017683029175,38.89251315825976,3.4737333059310913,32.25694296898452,3.647047370672226,38.361232168190995
65,3.6073043048381805,36.86653779643756,3.406756639480591,30.167242175014668,3.6030222177505493,36.70900958643733
70,3.6724085211753845,39.346558847849025,3.4599012434482574,31.813834534928326,3.6492543518543243,38.445988178766285
75,3.623030126094818,37.45087694439531,3.4150786101818085,30.41934060347391,3.6114782094955444,37.020736792336066
80,3.6449168920516968,38.2795913810555,3.422613114118576,30.649400851575475,3.6381770968437195,38.02246224669267
85,3.687649190425873,39.95081971104236,3.4953140020370483,32.96063603511759,3.6809495985507965,39.68406011190599
90,3.6361209750175476,37.94436374970891,3.438035547733307,31.12575301462883,3.6213383078575134,37.387570434431694
95,3.566988915205002,35.40981052447185,3.349842071533203,28.498232606173737,3.550985485315323,34.8476424113399
100,3.60360649228096,36.73046399279656,3.3851005733013153,29.520961587419247,3.592022478580475,36.30743272519313
105,3.5928225815296173,36.33649403366132,3.361980378627777,28.846260869013044,3.581245929002762,35.91826458755304
110,3.683425933122635,39.78245289836076,3.4843530654907227,32.60132936115235,3.6766317784786224,39.51308087503841
115,3.6593215465545654,38.834986201265004,3.453387588262558,31.607283617649205,3.648822993040085,38.429407739209694
120,3.618391066789627,37.27754247052977,3.408464550971985,30.21880917799261,3.5999586284160614,36.59672034807018
125,3.6404255032539368,38.108048374684266,3.4181558191776276,30.513091443511072,3.626732051372528,37.58977422748625
130,3.6322846114635468,37.79907424541303,3.416267156600952,30.455516896163765,3.6125106811523438,37.0589793925912
135,3.608594000339508,36.91411507789141,3.374996066093445,29.224168815859535,3.5979982912540436,36.525048710403645
140,3.690256357192993,40.05511405781284,3.4725881814956665,32.22002589673353,3.6804316341876984,39.66351050542633
145,3.6394380033016205,38.07043525326576,3.437904506921768,31.121674537923326,3.6389156877994537,38.050555666918754
150,3.658861368894577,38.81711931947444,3.425595700740814,30.740951805992534,3.644735276699066,38.27263985083969
155,3.561775177717209,35.22567350605975,3.3695632219314575,29.065828968238097,3.5507729053497314,34.84023528804605
160,3.5940224528312683,36.38011931718387,3.368230164051056,29.02710835002822,3.578227013349533,35.80999388863698
165,3.5747326612472534,35.68507953568103,3.375678837299347,29.244129050204645,3.56769722700119,35.43490059571486
170,3.662830024957657,38.9714772095034,3.451930820941925,31.561272681532024,3.6540766954421997,38.6318356934683
175,3.5996353030204773,36.584889611678385,3.3779735267162323,29.311312296504315,3.58382248878479,36.01092947057075
180,3.5996272563934326,36.58459522790061,3.3927910923957825,29.74886834354729,3.597381591796875,36.50253067683409
185,3.623242884874344,37.458845794957575,3.3941720724105835,29.789979316375025,3.607922285795212,36.88932765587172
190,3.5713458955287933,35.56442695798162,3.3761798441410065,29.258784229803247,3.5708981454372406,35.548506547003875
195,3.5863198935985565,36.10097573336207,3.374216914176941,29.20140761708573,3.579849451780319,35.8681405558669
200,3.6071419417858124,36.86055251873781,3.4013379514217377,30.004217389199216,3.6026471555233,36.695244005177884
205,3.586996167898178,36.125398152638255,3.3928434252738953,29.750425228186078,3.5768889784812927,35.76211090987399
