task,metric,dense_score,mofe_no_warmup_score,absolute_delta,relative_delta_percent
lambada_openai,acc,0.30972249175237726,0.0,-0.30972249175237726,-100.0
hellaswag,acc_norm,0.3121888070105557,0.2619000199163513,-0.05028878709420437,-16.10845295055822
piqa,acc_norm,0.6256800870511425,0.5114254624591947,-0.1142546245919478,-18.260869565217394
winogrande,acc,0.5138121546961326,0.5035516969218626,-0.010260457774269982,-1.9969278033794264
arc_easy,acc_norm,0.3977272727272727,0.25462962962962965,-0.14309764309764306,-35.978835978835974
arc_challenge,acc_norm,0.22866894197952217,0.2636518771331058,0.03498293515358361,15.298507462686565
