model,step,validation_loss,perplexity,token_count,sample_count
Dense,1000,3.315577495098114,27.53829262243376,245520,240
MoFE,1000,3.113023026784261,22.48892637131248,245520,240
Upcycling,1000,3.3160685936609906,27.551819959720792,245520,240
